CITY,CITY AREA (PER KMSQ),date,MANAGEMENT_TYPE,TRAFFIC_VOLUME,SPEED,METRO TRIPS,BUS TRIPS,TOTAL PUBLIC TRANSPORT TRIP,AQI_mean,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,POPULATION DENSITY,Day_of_Week,Holiday_Flag,Season,congestion_index
LONDON,1572,3/11/2016,AI- MANAGEMENT SYSTEM,12747.91667,34,439170,828721,1267891,49,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,384.3529412
LONDON,1572,3/12/2016,AI- MANAGEMENT SYSTEM,13223.35185,34.33333333,439429,842900,1282329,49.33333333,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,453.0733894
LONDON,1572,3/13/2016,AI- MANAGEMENT SYSTEM,13698.78704,34.66666667,439688,857079,1296767,49.66666667,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,521.7938375
LONDON,1572,3/14/2016,AI- MANAGEMENT SYSTEM,14174.22222,35,439947,871258,1311205,50,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,590.5142857
LONDON,1572,3/15/2016,AI- MANAGEMENT SYSTEM,94972.33333,32,444096,733836,1177932,47,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,3420.875
LONDON,1572,3/16/2016,AI- MANAGEMENT SYSTEM,9573.666667,33,411396,850402,1261798,48,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Spring,182.6666667
LONDON,1572,3/17/2016,AI- MANAGEMENT SYSTEM,14700.25,34,446134,828669,1274803,49,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,182.7058824
LONDON,1572,3/18/2016,AI- MANAGEMENT SYSTEM,18992.61111,15,435556,812081,1247637,30,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,334.1333333
LONDON,1572,3/19/2016,AI- MANAGEMENT SYSTEM,15184.40741,22,433801.3333,811352.6667,1245154,37,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,283.7555556
LONDON,1572,3/20/2016,AI- MANAGEMENT SYSTEM,11376.2037,29,432046.6667,810624.3333,1242671,44,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,233.3777778
LONDON,1572,3/21/2016,AI- MANAGEMENT SYSTEM,7568,36,430292,809896,1240188,51,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,183
